NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Findings,DocketUrl
DCA22WA035,INC,104327,2021-11-24T20:36:00Z,Bogata,,Colombia,,N1604R,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104327
WPR22LA047,ACC,104302,2021-11-22T14:50:00Z,"Puyallup,",Washington,United States,,N7592Y,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104302
CEN22FA042,ACC,104284,2021-11-21T20:30:00Z,Chadron,Nebraska,United States,,N310JA,FALSE,Aviation,DirectorBrief,,Fatal,3,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104284
CEN22LA043,ACC,104286,2021-11-21T13:02:00Z,Wheeling,Illinois,United States,,N99715,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104286
ERA22LA071,ACC,104288,2021-11-21T09:26:00Z,Brent,Alabama,United States,,N5779J,FALSE,Aviation,DirectorBrief,,Serious,0,1,0,,,https://data.ntsb.gov/Docket?ProjectID=104288
CEN22LA052,ACC,104299,2021-11-20T11:24:00Z,Marshall,Michigan,United States,,N22WU,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104299
ERA22LA067,ACC,104277,2021-11-19T14:04:00Z,Glens Falls,New York,United States,,2305T,FALSE,Aviation,DirectorBrief,,Serious,0,1,0,,,https://data.ntsb.gov/Docket?ProjectID=104277
CEN22LA041,ACC,104280,2021-11-19T13:00:00Z,Miamisburg,Ohio,United States,,N221HG,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104280
ERA22LA072,ACC,104289,2021-11-18T17:30:00Z,Jonestown,Pennsylvania,United States,,N47523,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104289
GAA22WA033,ACC,104290,2021-11-18T11:11:00Z,Vilar da Luz,Other Foreign,Portugal,,CS-EDT,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104290
DCA22WA034,INC,104321,2021-11-18T03:35:00Z,Maringá,,Brazil,,PR-GXH,FALSE,Aviation,None,,,,,,,,https://data.ntsb.gov/Docket?ProjectID=104321
WPR22LA036,ACC,104259,2021-11-17T15:30:00Z,Mackay,Idaho,United States,,N2YQ,FALSE,Aviation,DirectorBrief,,Minor,0,0,1,,,https://data.ntsb.gov/Docket?ProjectID=104259
WPR22LA041,ACC,104274,2021-11-17T11:44:00Z,Farmington,New Mexico,United States,,N9467J,FALSE,Aviation,DirectorBrief,,Minor,0,0,1,,,https://data.ntsb.gov/Docket?ProjectID=104274
DCA22WA033,INC,104320,2021-11-17T10:41:00Z,Patna,,India,,VT-SYZ,FALSE,Aviation,None,,,,,,,,https://data.ntsb.gov/Docket?ProjectID=104320
GAA22WA032,ACC,104260,2021-11-16T00:40:00Z,Hope,,Canada,,C-FBKJ,FALSE,Aviation,None,,Fatal,2,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104260
CEN22LA038,ACC,104263,2021-11-15T19:30:00Z,West Union,Ohio,United States,,N3463Z,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104263
CEN22FA032,ACC,104245,2021-11-15T13:45:00Z,Boyne City,Michigan,United States,,N290KA,FALSE,Aviation,DirectorBrief,,Fatal,2,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104245
WPR22LA034,ACC,104243,2021-11-15T10:19:00Z,Molalla,Oregon,United States,,N103WC,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104243
WPR22LA037,ACC,104264,2021-11-14T15:30:00Z,Stanley,Idaho,United States,,N8509B,FALSE,Aviation,DirectorBrief,,Minor,0,0,2,,,https://data.ntsb.gov/Docket?ProjectID=104264
GAA22WA028,ACC,104248,2021-11-14T14:04:00Z,York,Other Foreign,United Kingdom,,G-CGNV,FALSE,Aviation,None,,Fatal,1,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104248
GAA22WA031,ACC,104271,2021-11-14T13:48:00Z,Worms,Other Foreign,Germany,,N884CA,FALSE,Aviation,None,,,,,,,,https://data.ntsb.gov/Docket?ProjectID=104271
ERA22LA065,ACC,104269,2021-11-14T12:13:00Z,Palm Coast,Florida,United States,,N61237,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104269
GAA22WA030,ACC,104255,2021-11-14T12:10:00Z,Klinga,Other Foreign,Germany,,D-HOHL,FALSE,Aviation,None,,Serious,0,1,0,,,https://data.ntsb.gov/Docket?ProjectID=104255
ERA22LA063,ACC,104261,2021-11-13T15:32:00Z,Denver,North Carolina,United States,,N3063E,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104261
CEN22FA031,ACC,104239,2021-11-13T14:47:00Z,Beaver Island,Michigan,United States,,N866JA,FALSE,Aviation,DirectorBrief,,Fatal,4,1,0,,,https://data.ntsb.gov/Docket?ProjectID=104239
ERA22LA062,ACC,104253,2021-11-13T11:49:00Z,Sebring,Florida,United States,,UNREG,FALSE,Aviation,DirectorBrief,,Serious,0,1,0,,,https://data.ntsb.gov/Docket?ProjectID=104253
ERA22LA066,ACC,104270,2021-11-12T19:31:00Z,St. Petersburg,Florida,United States,,N5862W,FALSE,Aviation,DirectorBrief,,Minor,0,0,1,,,https://data.ntsb.gov/Docket?ProjectID=104270
ERA22LA061,ACC,104252,2021-11-12T15:30:00Z,Martinsville,Virginia,United States,,N27TQ,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104252
WPR22FA033,ACC,104238,2021-11-12T15:14:00Z,Randsburg,California,United States,,N984LD,FALSE,Aviation,DirectorBrief,,Fatal,2,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104238
ERA22FA058,ACC,104237,2021-11-11T12:48:00Z,Branchville,New Jersey,United States,,N90559,FALSE,Aviation,DirectorBrief,,Fatal,2,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104237
GAA22WA029,ACC,104250,2021-11-11T09:52:00Z,Dornbirn,Other Foreign,Austria,,N731MT,FALSE,Aviation,DirectorBrief,,Fatal,1,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104250
CEN22LA034,ACC,104251,2021-11-10T15:50:00Z,Fort Davis,Texas,United States,,N3027W,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104251
CEN22LA033,ACC,104246,2021-11-10T15:30:00Z,Freer,Texas,United States,,N7198A,FALSE,Aviation,DirectorBrief,,,,,,,,https://data.ntsb.gov/Docket?ProjectID=104246
GAA22WA027,ACC,104247,2021-11-10T11:22:00Z,Felton,Other Foreign,United Kingdom,,G-MYDK,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104247
ERA22FA056,ACC,104235,2021-11-10T11:03:00Z,Oak Hill,Florida,United States,,N22XF,FALSE,Aviation,DirectorBrief,,Fatal,1,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104235
WPR22LA032,ACC,104233,2021-11-09T05:00:00Z,Holtville,California,United States,,N902SF,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104233
ANC22LA006,ACC,104234,2021-11-08T17:00:00Z,Yukon Charlie River,Alaska,United States,,N413CC,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104234
WPR22LA028,ACC,104221,2021-11-08T13:37:00Z,Redding,California,United States,,N360WM,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104221
ERA22LA052,ACC,104220,2021-11-07T12:00:00Z,Ridgeway,Virginia,United States,,N51127,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104220
ERA22LA057,ACC,104236,2021-11-07T11:20:00Z,Anne Arundel,Maryland,United States,,N619JB,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104236
ERA22LA049,ACC,104213,2021-11-07T11:00:00Z,Newport Richie,Florida,United States,,N8822Y,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104213
GAA22WA024,ACC,104211,2021-11-05T19:30:00Z,Caratinga,Other Foreign,Brazil,,PT-ONJ,FALSE,Aviation,None,,Fatal,5,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104211
ERA22FA047,ACC,104210,2021-11-05T19:26:00Z,Rock Hill,South Carolina,United States,,N8924Y,FALSE,Aviation,DirectorBrief,,Fatal,1,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104210
CEN22FA029,ACC,104207,2021-11-05T09:37:00Z,Harrison,Michigan,United States,,N16TG,FALSE,Aviation,DirectorBrief,,Fatal,1,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104207
ERA22LA046,ACC,104208,2021-11-04T19:30:00Z,Margarettsville,North Carolina,United States,,N704HQ,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104208
WPR22LA027,ACC,104209,2021-11-04T12:00:00Z,Taos,New Mexico,United States,,N24PK,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104209
ERA22LA045,ACC,104203,2021-11-04T09:47:00Z,Decatur,Georgia,United States,,N172XX,FALSE,Aviation,DirectorBrief,,Minor,0,0,1,,,https://data.ntsb.gov/Docket?ProjectID=104203
DCA22WA025,INC,104303,2021-11-03T21:30:00Z,Darwin,,Australia,,ZK-FXJ,FALSE,Aviation,None,,,,,,,,https://data.ntsb.gov/Docket?ProjectID=104303
DCA22WA020,INC,104217,2021-11-03T00:40:00Z,Baradero,,Argentina,,N36962,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104217
GAA22WA034,ACC,104314,2021-11-01T15:30:00Z,Luqa,,Malta,,9H-AEB,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104314
DCA22WA021,INC,104223,2021-10-31T23:30:00Z,Vogo,,India,,4X-EDA,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104223
ERA22LA043,ACC,104196,2021-10-31T19:00:00Z,Orleans,Massachusetts,United States,,N2186U,FALSE,Aviation,DirectorBrief,,Fatal,1,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104196
ERA22LA044,ACC,104198,2021-10-31T17:06:00Z,STEVENSVILLE,Maryland,United States,,N3HQ,FALSE,Aviation,DirectorBrief,,Minor,0,0,1,,,https://data.ntsb.gov/Docket?ProjectID=104198
CEN22LA025,ACC,104192,2021-10-31T14:45:00Z,Cresson,Texas,United States,,N46370,FALSE,Aviation,DirectorBrief,,Minor,0,0,1,,,https://data.ntsb.gov/Docket?ProjectID=104192
CEN22FA023,ACC,104188,2021-10-31T13:34:00Z,Harrison,Nebraska,United States,,N8625M,FALSE,Aviation,DirectorBrief,,Fatal,2,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104188
ERA22FA036,ACC,104184,2021-10-31T13:20:00Z,Chattahoochee,Florida,United States,,N479JJ,FALSE,Aviation,DirectorBrief,,Fatal,1,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104184
WPR22LA025,ACC,104194,2021-10-31T11:50:00Z,Rexburg,Idaho,United States,,N1082V,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104194
CEN22LA024,ACC,104189,2021-10-31T09:37:00Z,Forrest City,Arkansas,United States,,N6713G,FALSE,Aviation,DirectorBrief,,Fatal,1,0,1,,,https://data.ntsb.gov/Docket?ProjectID=104189
GAA22WA023,ACC,104197,2021-10-31T04:00:00Z,Ciacanesti,Other Foreign,United States,,YR-7007,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104197
CEN22LA027,ACC,104205,2021-10-30T14:37:00Z,La Porte,Texas,United States,,N86612,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104205
GAA22WA025,ACC,104215,2021-10-30T08:00:00Z,Tulisa Park,Other Foreign,United States,,ZS-PMT,FALSE,Aviation,None,,Serious,0,2,0,,,https://data.ntsb.gov/Docket?ProjectID=104215
ERA22LA037,ACC,104185,2021-10-29T20:13:00Z,Waverly,Tennessee,United States,,N30SH,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104185
CEN22LA028,ACC,104206,2021-10-29T14:15:00Z,Greeley,Colorado,United States,,N125WB,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104206
CEN22LA037,ACC,104258,2021-10-28T16:26:00Z,Hammond,Louisiana,United States,,N899RW,FALSE,Aviation,DirectorBrief,,,,,,,,https://data.ntsb.gov/Docket?ProjectID=104258
WPR22FA022,ACC,104177,2021-10-28T14:11:00Z,Ukiah,California,United States,,N1870V,FALSE,Aviation,DirectorBrief,,Fatal,1,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104177
ERA22LA040,ACC,104190,2021-10-28T12:10:00Z,ROBBINSVILLE,New Jersey,United States,,N281F,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104190
WPR22LA031,ACC,104227,2021-10-28T12:00:00Z,Covelo,California,United States,,N27TK,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=104227
