NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Findings,DocketUrl
ENG21LA011,INC,102496,2020-12-31T18:15:00Z,Opa Locka,Florida,United States,,N75TL,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=102496
WPR21LA079,ACC,102492,2020-12-31T18:00:00Z,Riverside,Utah,United States,,N1571A,FALSE,Aviation,DirectorBrief,2021-09-20T04:00:00Z,None,0,0,0,"A failure of the throttle control during a landing roll, which resulted in a loss of control and collision with a fence.","Aircraft - Aircraft power plant - Engine controls - Power lever - Failure, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Object/animal/substance - Fence/fence post - Contributed to outcome",https://data.ntsb.gov/Docket?ProjectID=102492
ANC21LA010,ACC,102493,2020-12-31T15:45:00Z,Hope,Alaska,United States,,N949AF,FALSE,Aviation,DirectorBrief,2021-10-19T04:00:00Z,Minor,0,0,1,The pilot’s selection of unsuitable terrain for landing. A factor was the certified flight instructor’s selection of unsuitable terrain for landing.,"Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Instructor/check pilot, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Snow/slush/ice covered surface - Ability to respond/compensate",https://data.ntsb.gov/Docket?ProjectID=102493
DCA21WA062,ACC,102488,2020-12-31T14:49:00Z,Johannesburg,,South Africa,,ZS-JCT,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=102488
DCA21WA063,INC,102497,2020-12-31T02:15:00Z,Bogata,,Colombia,,N557AV,FALSE,Aviation,None,,,,,,,,https://data.ntsb.gov/Docket?ProjectID=102497
ERA21LA097,ACC,102495,2020-12-30T18:10:00Z,Holly Ridge,North Carolina,United States,,N728VM,FALSE,Aviation,DirectorBrief,2021-08-20T04:00:00Z,None,0,0,0,The pilot’s failure to perform a go-around during an unstable approach to land which resulted in a landing area overshoot and a subsequent runway excursion.,"Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained",https://data.ntsb.gov/Docket?ProjectID=102495
ERA21LA238,ACC,103192,2020-12-30T17:00:00Z,York,Pennsylvania,United States,,N463ST,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=103192
ERA21LA096,ACC,102494,2020-12-30T13:00:00Z,Topping,Virginia,United States,,N96540,FALSE,Aviation,DirectorBrief,2021-07-16T04:00:00Z,None,0,0,0,"The pilot’s failure to maintain directional control during landing, with resulted in a ground loop and subsequent nose over.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",https://data.ntsb.gov/Docket?ProjectID=102494
ANC21WA009,ACC,102487,2020-12-30T05:00:00Z,"Ojiro in Shimada-City, Shizuoka",Other Foreign,Japan,,JA77AR,FALSE,Aviation,None,,Fatal,1,0,0,,,https://data.ntsb.gov/Docket?ProjectID=102487
DCA21WA061,INC,102479,2020-12-30T01:34:00Z,San Jose,Other Foreign,Costa Rica,,N73275,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=102479
