NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Findings,DocketUrl
DCA19CA066,ACC,98874,2018-12-31T13:40:00Z,Charlotte,North Carolina,United States,,N938UW,FALSE,Aviation,DirectorBrief,2020-04-22T04:00:00Z,None,0,0,0,an inadvertent loss of airspeed and increased pitch attitude prior to touchdown.,"Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Flight crew, Personnel issues - Action/decision - Action - Incorrect action performance - Copilot",https://data.ntsb.gov/Docket?ProjectID=98874
ERA19LA081,ACC,98858,2018-12-30T21:25:00Z,Apopka,Florida,United States,,N78JE,FALSE,Aviation,DirectorBrief,2020-09-14T04:00:00Z,None,0,0,0,"A partial loss of engine power during a go-around for reasons that could not be determined based on the available information, which resulted in a forced landing.","Not determined - Not determined - (general) - (general) - Unknown/Not determined, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Attain/maintain not possible, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Contributed to outcome",https://data.ntsb.gov/Docket?ProjectID=98858
CEN19LA051,ACC,98810,2018-12-30T20:48:00Z,Beaver Island,Michigan,United States,,N2146P,FALSE,Aviation,DirectorBrief,2020-04-20T04:00:00Z,Fatal,1,0,0,The pilot's failure to maintain a positive rate of climb after takeoff which resulted in an impact with trees and terrain.  Contributing to the accident was the pilot's inability to see a visible horizon due to the dark night lighting conditions and limited ground lights in the vicinity of the airport.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Climb rate - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - (general) - Pilot, Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Effect on personnel",https://data.ntsb.gov/Docket?ProjectID=98810
GAA19CA106,ACC,98899,2018-12-30T17:20:00Z,Caldwell,New Jersey,United States,,N2651R,FALSE,Aviation,DirectorBrief,2019-09-26T04:00:00Z,None,0,0,0,The student pilot's failure to maintain directional control during the takeoff roll.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot, Environmental issues - Physical environment - Terrain - Sloped/uneven terrain - Contributed to outcome",https://data.ntsb.gov/Docket?ProjectID=98899
WPR19LA060,ACC,98831,2018-12-30T16:53:00Z,San Diego,California,United States,,N4161X,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=98831
ANC19WA013,ACC,98978,2018-12-30T03:30:00Z,Ulan-Ude,,Russia,,RA-01908,FALSE,Aviation,None,,Fatal,4,0,0,,,https://data.ntsb.gov/Docket?ProjectID=98978
GAA19CA111,ACC,98823,2018-12-29T15:36:00Z,Bend,Oregon,United States,,N7757C,FALSE,Aviation,DirectorBrief,2019-09-26T04:00:00Z,Minor,0,0,1,The pilot's failure to maintain directional control in gusting crosswind conditions.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation, Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Effect on operation",https://data.ntsb.gov/Docket?ProjectID=98823
CEN19LA050,ACC,98809,2018-12-29T11:23:00Z,Chesaning,Michigan,United States,,N1095V,FALSE,Aviation,DirectorBrief,2020-06-29T04:00:00Z,Fatal,1,0,0,The pilot's loss of airplane control for reasons that could not be determined based on the available information.,"Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Object/animal/substance - Residence/building - Contributed to outcome",https://data.ntsb.gov/Docket?ProjectID=98809
CEN19LA064,ACC,98882,2018-12-28T21:15:00Z,Horseshoe Bay,Texas,United States,,N6202M,FALSE,Aviation,DirectorBrief,2020-04-13T04:00:00Z,Minor,0,0,2,"The pilot's inadequate preflight and in-flight fuel planning, which resulted in the total loss of engine power due to fuel exhaustion.","Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Effect on operation",https://data.ntsb.gov/Docket?ProjectID=98882
WPR19CA052,ACC,98822,2018-12-28T11:45:00Z,Hayward,California,United States,,N8319T,FALSE,Aviation,DirectorBrief,2019-09-26T04:00:00Z,None,0,0,0,"An in-flight collision with a bird during low-altitude maneuvering, which resulted in a hard landing.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on operation, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Ability to respond/compensate",https://data.ntsb.gov/Docket?ProjectID=98822
GAA19CA119,ACC,98924,2018-12-27T14:00:00Z,Sugar Land,Texas,United States,,N17SJ,FALSE,Aviation,DirectorBrief,2019-11-06T05:00:00Z,None,0,0,0,"The student pilot's failure to maintain directional control during takeoff, which resulted in a runway excursion and impact with a sign.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot, Environmental issues - Physical environment - Object/animal/substance - Sign/marker - Effect on operation",https://data.ntsb.gov/Docket?ProjectID=98924
ENG19IA008,INC,98808,2018-12-26T05:00:00Z,Busan,,Republic Of Korea,,HL8314,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=98808
CEN19LA049,ACC,98803,2018-12-25T18:03:00Z,Sioux Falls,South Dakota,United States,,N6745V,FALSE,Aviation,DirectorBrief,2020-12-03T05:00:00Z,Fatal,2,0,0,The pilot's failure to maintain adequate airspeed during the instrument approach which led to an aerodynamic stall.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Not attained/maintained",https://data.ntsb.gov/Docket?ProjectID=98803
CEN19LA048,ACC,98801,2018-12-25T10:48:00Z,Watkins,Colorado,United States,,N711KJ,FALSE,Aviation,DirectorBrief,2021-07-15T04:00:00Z,None,0,0,0,"The pilot’s failure to apply adequate torque to a fuel line during recent maintenance, which allowed the line to loosen in flight and fuel to enter the hot engine compartment and resulted in an in-flight fire that consumed the airplane.","Personnel issues - Task performance - Maintenance - Installation - Pilot, Aircraft - Aircraft systems - Fuel system - Fuel distribution - Incorrect service/maintenance",https://data.ntsb.gov/Docket?ProjectID=98801
CEN19TA075,ACC,98928,2018-12-24T23:15:00Z,Strum,Wisconsin,United States,,N145EC,FALSE,Aviation,DirectorBrief,2020-06-29T04:00:00Z,Minor,0,0,3,The pilot's failure to maintain clearance from the fire truck.,"Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - Ground vehicle - Contributed to outcome",https://data.ntsb.gov/Docket?ProjectID=98928
ERA19RA077,ACC,98807,2018-12-24T21:45:00Z,"Santa Maria Coronango, State of Puebla",,Mexico,,XA-BON,FALSE,Aviation,None,,Fatal,5,0,0,,,https://data.ntsb.gov/Docket?ProjectID=98807
ERA19LA079,ACC,98856,2018-12-24T14:44:00Z,Fort Lauderdale,Florida,United States,,N3015E,FALSE,Aviation,DirectorBrief,2020-04-13T04:00:00Z,None,0,0,0,A total loss of engine power due to the fatigue fracture of the No. 2 exhaust rocker arm stud.,"Aircraft - Aircraft power plant - Engine (reciprocating) - Recip eng cyl section - Fatigue/wear/corrosion, Aircraft - Aircraft power plant - Engine (reciprocating) - Recip eng cyl section - Failure",https://data.ntsb.gov/Docket?ProjectID=98856
CEN19LA061,ACC,98879,2018-12-23T16:10:00Z,Norwood,Colorado,United States,,N3120S,FALSE,Aviation,DirectorBrief,2021-05-05T04:00:00Z,None,0,0,0,The partial loss of engine power for undetermined reasons.,Not determined - Not determined - (general) - (general) - Unknown/Not determined,https://data.ntsb.gov/Docket?ProjectID=98879
ANC19CA009,ACC,98821,2018-12-22T19:30:00Z,Big Lake,Alaska,United States,,N93018,FALSE,Aviation,DirectorBrief,2019-09-26T04:00:00Z,None,0,0,0,"The pilot's improper decision to land on a roadway during dark night conditions with inoperable landing and taxi lights, which resulted in an impact with a snow berm.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Environmental issues - Physical environment - Object/animal/substance - Snow/ice - Decision related to condition, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Snow/slush/ice covered surface - Effect on operation",https://data.ntsb.gov/Docket?ProjectID=98821
WPR19LA050,ACC,98820,2018-12-22T17:22:00Z,Santa Ana,California,United States,,N15321,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=98820
ERA19LA091,ACC,98900,2018-12-22T14:30:00Z,Naples,Florida,United States,,N564SC,FALSE,Aviation,DirectorBrief,2020-06-29T04:00:00Z,Serious,0,1,1,"Collision with a bird in flight, which resulted in damage to the engine, a fuel leak, and a subsequent total loss of engine power due to fuel exhaustion.","Aircraft - Aircraft power plant - Engine (reciprocating) - (general) - Damaged/degraded, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Contributed to outcome, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Contributed to outcome, Environmental issues - Physical environment - Object/animal/substance - Sign/marker - Contributed to outcome",https://data.ntsb.gov/Docket?ProjectID=98900
ERA19LA078,ACC,98855,2018-12-22T11:12:00Z,Lakeland,Florida,United States,,N587BL,FALSE,Aviation,DirectorBrief,2020-04-13T04:00:00Z,Fatal,1,0,0,"The student pilot's exceedance of the airplane's critical angle of attack during the initial climb, resulting in an aerodynamic stall from which the pilot did not recover.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Capability exceeded, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Climb rate - Capability exceeded, Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot",https://data.ntsb.gov/Docket?ProjectID=98855
DCA19WA057,INC,98865,2018-12-22T00:35:00Z,Delhi Airspace,,India,,N919CA,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=98865
WPR19LA049,ACC,98819,2018-12-21T14:30:00Z,Walla Walla,Washington,United States,,N46147,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=98819
GAA19CA129,ACC,98953,2018-12-21T14:00:00Z,Marshall,Texas,United States,,N23YR,FALSE,Aviation,DirectorBrief,2019-09-26T04:00:00Z,None,0,0,0,The pilot's failure to maintain directional control during landing.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot",https://data.ntsb.gov/Docket?ProjectID=98953
CEN19LA070,ACC,98892,2018-12-21T12:45:00Z,Abilene,Texas,United States,,N254RA,FALSE,Aviation,DirectorBrief,2020-04-13T04:00:00Z,None,0,0,0,The pilot's failure to see and avoid a cell tower wire during a pipeline patrol flight. Contributing to the accident was the pilot's distraction due to writing down observations about the pipeline while flying.,"Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - Wire - Effect on operation",https://data.ntsb.gov/Docket?ProjectID=98892
GAA19CA123,ACC,98932,2018-12-20T15:30:00Z,Center,Texas,United States,,N8487X,FALSE,Aviation,DirectorBrief,2019-09-26T04:00:00Z,Minor,0,0,1,"The pilot's exceedance of the airplane's critical angle of attack during landing in gusting crosswind conditions, which resulted in an aerodynamic stall.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Capability exceeded, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation, Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Effect on operation, Environmental issues - Physical environment - Object/animal/substance - (general) - Contributed to outcome",https://data.ntsb.gov/Docket?ProjectID=98932
ERA19FA071,ACC,98793,2018-12-20T13:10:00Z,Atlanta,Georgia,United States,,N188CW,FALSE,Aviation,DirectorBrief,2020-07-13T04:00:00Z,Fatal,4,0,0,The pilot's loss of airplane control due to spatial disorientation during initial climb in instrument meteorological conditions.,"Personnel issues - Psychological - Perception/orientation/illusion - Spatial disorientation - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Below VFR minima - Contributed to outcome",https://data.ntsb.gov/Docket?ProjectID=98793
ERA19LA072,ACC,98795,2018-12-20T10:04:00Z,Mayport,Florida,United States,,N307JM,FALSE,Aviation,DirectorBrief,,Fatal,2,0,0,,,https://data.ntsb.gov/Docket?ProjectID=98795
DCA19WA049,INC,98798,2018-12-20T01:00:00Z,Belo Horizonte,,Brazil,,PT-MUG,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=98798
