NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Findings,DocketUrl
CEN12LA118,ACC,82594,2011-12-31T13:20:00Z,Elk Rapids,Michigan,United States,,N997TB,FALSE,Aviation,DirectorBrief,2012-05-21T04:00:00Z,Minor,0,0,1,The loss of engine power due to the failure of the exhaust valve.,"Aircraft - Aircraft power plant - Engine (reciprocating) - Recip eng cyl section - Failure, Aircraft - Aircraft power plant - Engine (reciprocating) - Recip eng cyl section - Not serviced/maintained",https://data.ntsb.gov/Docket?ProjectID=82594
ERA12FA130,ACC,82593,2011-12-31T12:11:00Z,Jacksonville,Florida,United States,,N7408Z,FALSE,Aviation,DirectorBrief,2013-07-18T04:00:00Z,Fatal,1,0,0,The pilot's in-flight loss of control during climb after a banner pickup. Contributing to the accident was the pilot's impairment due to marijuana.,"Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Not attained/maintained, Personnel issues - Physical - Impairment/incapacitation - Illicit drug - Pilot, Personnel issues - Physical - Health/Fitness - (general) - Pilot",https://data.ntsb.gov/Docket?ProjectID=82593
ERA12CA160,ACC,82754,2011-12-30T15:00:00Z,Raleigh,North Carolina,United States,,N8330S,FALSE,Aviation,DirectorBrief,2012-10-09T04:00:00Z,None,0,0,0,The pilot's loss of directional control while landing in gusting wind conditions.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Action/decision - Action - Incorrect action performance - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation",https://data.ntsb.gov/Docket?ProjectID=82754
CEN12LA127,ACC,82654,2011-12-30T15:00:00Z,Marion,Texas,United States,,N9753L,FALSE,Aviation,DirectorBrief,2013-04-10T04:00:00Z,None,0,0,0,"A total loss of engine power due to fuel starvation as a result of a piece of metal in the fuel line, which blocked fuel flow to the engine.",Aircraft - Aircraft systems - Fuel system - Fuel distribution - Incorrect service/maintenance,https://data.ntsb.gov/Docket?ProjectID=82654
ERA12CA129,ACC,82592,2011-12-30T13:00:00Z,Mansfield,Massachusetts,United States,,N344MK,FALSE,Aviation,DirectorBrief,2012-03-27T04:00:00Z,Minor,0,0,1,The pilot did not maintain directional control during landing. Contributing to the accident was the pilot’s not closing the throttle upon landing and his improper adjustment of the airplane’s brakes.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Surface speed/braking - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Aircraft - Aircraft power plant - Engine controls - Power lever - Incorrect use/operation, Personnel issues - Task performance - Use of equip/info - (general) - Pilot, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Braking capability - Not specified",https://data.ntsb.gov/Docket?ProjectID=82592
ERA12WA133,ACC,82602,2011-12-29T15:15:00Z,"Andres Bello,Tachira",,Venezuela,,HK3934,FALSE,Aviation,None,2020-11-03T05:00:00Z,Fatal,2,0,0,,,https://data.ntsb.gov/Docket?ProjectID=82602
ERA12CA128,ACC,82589,2011-12-28T20:00:00Z,Picayune,Mississippi,United States,,N800BY,FALSE,Aviation,DirectorBrief,2012-11-26T05:00:00Z,None,0,0,0,"The pilot's excessive rate of descent during the landing flare/touchdown, which resulted in a hard landing.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent rate - Capability exceeded, Personnel issues - Action/decision - Action - Incorrect action selection - Pilot",https://data.ntsb.gov/Docket?ProjectID=82589
CEN12LA116,ACC,82586,2011-12-28T17:00:00Z,Lebanon,Ohio,United States,,N994NC,FALSE,Aviation,DirectorBrief,2012-08-29T04:00:00Z,Serious,0,1,3,"The pilot’s inadvertent positioning of the fuel selector valve between the right tank and OFF position, which resulted in fuel starvation and a total loss of engine power. Contributing to the accident was the inadequate inspection of the fuel valve and failure to replace the worn fuel valve's position washer.","Aircraft - Aircraft systems - Fuel system - Fuel selector/shutoff valve - Fatigue/wear/corrosion, Aircraft - Aircraft systems - Fuel system - Fuel selector/shutoff valve - Not serviced/maintained, Personnel issues - Task performance - Maintenance - (general) - Maintenance personnel, Personnel issues - Action/decision - Action - Incorrect action performance - Pilot, Personnel issues - Experience/knowledge - Experience/qualifications - Total experience w/ equipment - Pilot",https://data.ntsb.gov/Docket?ProjectID=82586
WPR12CA072,ACC,82590,2011-12-28T13:30:00Z,Murrieta,California,United States,,N8641R,FALSE,Aviation,DirectorBrief,2012-03-27T04:00:00Z,None,0,0,0,The glider's encounter with insufficient atmospheric lift to maintain soaring flight.,Environmental issues - Conditions/weather/phenomena - (general) - (general) - Effect on operation,https://data.ntsb.gov/Docket?ProjectID=82590
CEN12CA130,ACC,82662,2011-12-28T12:20:00Z,Eldorado,Texas,United States,,N6129T,FALSE,Aviation,DirectorBrief,2012-03-08T05:00:00Z,None,0,0,0,"The pilot's inadequate in-flight planning and decision-making, which resulted in a loss of control during a crosswind landing.","Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Contributed to outcome, Personnel issues - Task performance - Planning/preparation - Flight planning/navigation - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Contributed to outcome",https://data.ntsb.gov/Docket?ProjectID=82662
