NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Findings,DocketUrl
ANC20CA011,ACC,100755,2019-12-31T21:30:00Z,Fairbanks,Alaska,United States,,N4667C,FALSE,Aviation,DirectorBrief,2021-08-31T04:00:00Z,None,0,0,0,"The pilot's improper fuel planning, which resulted in a total loss of engine power due to fuel exhaustion, an emergency off-airport landing, and a nose over.","Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot",https://data.ntsb.gov/Docket?ProjectID=100755
CEN20FA049,ACC,100748,2019-12-31T17:06:00Z,OLATHE,Kansas,United States,,N602TF,FALSE,Aviation,DirectorBrief,2021-05-05T04:00:00Z,Fatal,2,0,0,"The pilot’s failure to set the elevator trim properly for takeoff, which resulted in an exceedance of the airplane’s critical angle of attack during climb out, an aerodynamic stall, and the subsequent impact with terrain.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Not attained/maintained, Personnel issues - Physical - Impairment/incapacitation - Prescription medication - Pilot, Personnel issues - Action/decision - Action - Incorrect action selection - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Attain/maintain not possible",https://data.ntsb.gov/Docket?ProjectID=100748
CEN20CA052,ACC,100751,2019-12-31T16:30:00Z,Onaga,Kansas,United States,,N3849T,FALSE,Aviation,DirectorBrief,2020-06-16T04:00:00Z,None,0,0,0,"The pilot's improper decision to take off with the airplane at a high gross weight from a short, turf runway, which degraded its climb performance and led to a delayed aborted takeoff, a runway excursion, and impact with terrain.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Climb rate - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Maximum weight - Not specified, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Takeoff distance - Not specified, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Soft surface - Effect on operation, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Soft surface - Decision related to condition",https://data.ntsb.gov/Docket?ProjectID=100751
WPR20CA055,ACC,100757,2019-12-31T15:30:00Z,Elk,California,United States,,N7095M,FALSE,Aviation,DirectorBrief,2020-06-16T04:00:00Z,None,0,0,0,"The pilot's failure to arrest the descent rate during an aborted simulated engine-out approach, which resulted in impact with vegetation and a subsequent cartwheel.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent rate - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Effect on operation",https://data.ntsb.gov/Docket?ProjectID=100757
CEN20LA051,ACC,100750,2019-12-31T14:30:00Z,Danbury,Texas,United States,,N57SJ,FALSE,Aviation,DirectorBrief,2021-05-05T04:00:00Z,None,0,0,0,The failure of the engine's No.3 intake valve resulting is a loss of engine power and a rollover following the autorotation to soft ground.,"Aircraft - Aircraft power plant - Engine (reciprocating) - Recip engine power section - Failure, Environmental issues - Physical environment - Terrain - Wet/muddy terrain - Contributed to outcome",https://data.ntsb.gov/Docket?ProjectID=100750
CEN20CA048,ACC,100744,2019-12-30T16:05:00Z,GRANBURY,Texas,United States,,N519RV,FALSE,Aviation,DirectorBrief,2020-06-16T04:00:00Z,None,0,0,0,The airplane’s impact with a bird while on approach.,"Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on operation, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Ability to respond/compensate",https://data.ntsb.gov/Docket?ProjectID=100744
WPR20LA054,ACC,100754,2019-12-30T15:45:00Z,Big Piney,Wyoming,United States,,N43866,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=100754
ERA20WA061,ACC,100747,2019-12-30T15:30:00Z,Vereda Cuzama,,Colombia,,HK2629,FALSE,Aviation,None,,Fatal,3,0,0,,,https://data.ntsb.gov/Docket?ProjectID=100747
CEN20CA047,ACC,100743,2019-12-29T19:20:00Z,Robstown,Texas,United States,,N3473U,FALSE,Aviation,DirectorBrief,2020-06-16T04:00:00Z,None,0,0,0,"The pilot's failure to set the friction lock on the throttle before hand propping the engine, which allowed the airplane to move forward and impact a credit card machine. Contributing to the accident was the malfunction of the parking brake for reasons that could not be determined.","Personnel issues - Action/decision - Action - Lack of action - Pilot, Aircraft - Aircraft oper/perf/capability - (general) - (general) - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - (general) - Effect on operation, Not determined - Not determined - (general) - (general) - Unknown/Not determined",https://data.ntsb.gov/Docket?ProjectID=100743
ERA20FA060,ACC,100740,2019-12-29T15:48:00Z,College Park,Maryland,United States,,N26455,FALSE,Aviation,DirectorBrief,,Fatal,1,0,0,,,https://data.ntsb.gov/Docket?ProjectID=100740
CEN20WA061,ACC,100825,2019-12-29T12:36:00Z,Wijnendaele,,Belgium,,OO-RFF,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=100825
ERA20LA062,ACC,100753,2019-12-28T18:35:00Z,Fletcher,North Carolina,United States,,N27GB,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=100753
ERA20LA082,ACC,100840,2019-12-28T17:15:00Z,Farmingdale,New York,United States,,N52840,FALSE,Aviation,DirectorBrief,,Minor,0,0,1,,,https://data.ntsb.gov/Docket?ProjectID=100840
WPR20CA053,ACC,100746,2019-12-28T14:45:00Z,Missoula,Montana,United States,,N4476B,FALSE,Aviation,DirectorBrief,2020-06-16T04:00:00Z,None,0,0,0,"The pilot receiving instruction's failure to maintain directional control during the takeoff roll, which resulted in a runway excursion and ground-loop, and the flight instructor’s failure to adequately monitor the pilot.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Psychological - Attention/monitoring - Monitoring other person - Instructor/check pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot",https://data.ntsb.gov/Docket?ProjectID=100746
ERA20WA067,ACC,100771,2019-12-28T12:10:00Z,Cmte Nicanor Otamendi,,Argentina,,LV-FQD,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=100771
CEN20MA044,ACC,100739,2019-12-28T10:21:00Z,LAFAYETTE,Louisiana,United States,,N42CV,FALSE,Aviation,DirectorBrief,,Fatal,5,2,2,,,https://data.ntsb.gov/Docket?ProjectID=100739
WPR20FA051,ACC,100738,2019-12-27T12:45:00Z,Santa Monica,California,United States,,N52CV,FALSE,Aviation,DirectorBrief,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=100738
CEN20WA126,ACC,101088,2019-12-27T05:00:00Z,San Salvador,,El Salvador,,YS-162PE,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=101088
