NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Findings,DocketUrl
CEN17FA064,ACC,94551,2016-12-31T18:45:00Z,Vienna,Illinois,United States,,N2806R,FALSE,Aviation,DirectorBrief,2018-11-05T05:00:00Z,Fatal,4,0,0,"The non-instrument rated pilot's decision to descend through an overcast layer of weather during dark night conditions, which resulted in the airplane impacting trees.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Low ceiling - Decision related to condition, Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Decision related to condition, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Contributed to outcome",https://data.ntsb.gov/Docket?ProjectID=94551
CEN17FA063,ACC,94550,2016-12-31T18:25:00Z,McKinney,Texas,United States,,"N4407T, N2889K",FALSE,Aviation,DirectorBrief,2019-06-25T04:00:00Z,Fatal,3,0,0,"The pilot's use of an alternate traffic pattern entry procedure, which resulted in his inability to see and avoid the other airplane, which was flying the preferred traffic pattern, and the subsequent midair collision.","Personnel issues - Psychological - Attention/monitoring - Monitoring other aircraft - Pilot, Personnel issues - Task performance - Use of equip/info - Use of policy/procedure - Pilot",https://data.ntsb.gov/Docket?ProjectID=94550
GAA17CA108,ACC,94580,2016-12-31T18:00:00Z,Casa Grande,Arizona,United States,,N5897R,FALSE,Aviation,DirectorBrief,2017-04-04T04:00:00Z,None,0,0,0,"The pilot’s inadvertent application of the autopilot during short final, which resulted in an aerodynamic stall and hard landing.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Capability exceeded, Aircraft - Aircraft systems - Auto flight system - Autopilot system - Unintentional use/operation, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",https://data.ntsb.gov/Docket?ProjectID=94580
GAA17CA106,ACC,94559,2016-12-31T12:00:00Z,Palouse,Washington,United States,,N260BD,FALSE,Aviation,DirectorBrief,2017-03-13T04:00:00Z,Minor,0,0,1,"The pilot’s failure to maintain directional control on an ice- and snow-covered runway during taxi with a crosswind, which resulted in a runway excursion.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Snow/slush/ice covered surface - Effect on operation, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation",https://data.ntsb.gov/Docket?ProjectID=94559
CEN17LA066,ACC,94556,2016-12-31T08:40:00Z,Lee's Summit,Missouri,United States,,N120CG,FALSE,Aviation,DirectorBrief,2017-08-28T04:00:00Z,Serious,0,1,0,"Partial failure of the electric system due to a battery short, which resulted in a total loss of engine power.",Aircraft - Aircraft systems - Electrical power system - Battery/charger - Failure,https://data.ntsb.gov/Docket?ProjectID=94556
WPR17FAMS2,ACC,94561,2016-12-30T19:49:00Z,Open water,Hawaii,United States,,N174LL,FALSE,Aviation,DirectorBrief,2017-09-06T04:00:00Z,Fatal,3,0,0,Undetermined because the airplane was not located.,"Not determined - Not determined - (general) - (general) - Unknown/Not determined, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - (general) - Decision related to condition",https://data.ntsb.gov/Docket?ProjectID=94561
DCA17WA056,INC,94592,2016-12-30T12:30:00Z,Paris,,France,,CN-ROJ,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=94592
ERA17LA077,ACC,94564,2016-12-30T11:10:00Z,Dunnellon,Florida,United States,,N6627U,FALSE,Aviation,DirectorBrief,2019-07-08T04:00:00Z,None,0,0,0,"An inadequate 100-hour maintenance inspection that failed to detect and correct loose nuts on a single-drive dual magneto, which led to the subsequent separation of the magneto from the engine during initial climb and the total loss of engine power.","Personnel issues - Task performance - Inspection - Scheduled/routine inspection - Maintenance personnel, Aircraft - Aircraft power plant - Ignition system - Magneto/distributor - Inadequate inspection, Environmental issues - Physical environment - Object/animal/substance - (general) - Contributed to outcome",https://data.ntsb.gov/Docket?ProjectID=94564
CEN17FA072,ACC,94545,2016-12-29T23:57:00Z,Cleveland,Ohio,United States,,N614SB,FALSE,Aviation,DirectorBrief,2018-07-16T04:00:00Z,Fatal,6,0,0,"Controlled flight into terrain due to pilot spatial disorientation.  Contributing to the accident was pilot fatigue, mode confusion related to the status of the autopilot, and negative learning transfer due to flight guidance panel and attitude indicator differences from the pilot's previous flight experience.","Personnel issues - Psychological - Perception/orientation/illusion - Spatial disorientation - Pilot, Personnel issues - Physical - Alertness/Fatigue - (general) - Pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring equip/instruments - Pilot, Personnel issues - Experience/knowledge - Experience/qualifications - Total experience w/ equipment - Pilot",https://data.ntsb.gov/Docket?ProjectID=94545
WPR17FA044,ACC,94548,2016-12-29T19:44:00Z,Dabob,Washington,United States,,N52388,FALSE,Aviation,DirectorBrief,2019-02-26T05:00:00Z,Fatal,4,0,0,"The non-instrument-rated pilot's decision to continue a night visual flight rules into instrument flight rules conditions, which resulted in spatial disorientation and a loss of airplane control. Contributing to the accident was the pilot's failure to obtain an official weather briefing.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Psychological - Perception/orientation/illusion - Spatial disorientation - Pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - (general) - Effect on operation, Personnel issues - Task performance - Planning/preparation - Weather planning - Pilot, Personnel issues - Physical - Health/Fitness - Use of medication/drugs - Pilot, Personnel issues - Physical - Health/Fitness - Predisposing condition - Pilot",https://data.ntsb.gov/Docket?ProjectID=94548
DCA17WA086,INC,94938,2016-12-29T15:00:00Z,Bucharest,,Romania,,YR-BAR,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=94938
GAA17CA105,ACC,94557,2016-12-29T14:45:00Z,Nashville,Tennessee,United States,,N301BK,FALSE,Aviation,DirectorBrief,2017-07-20T04:00:00Z,None,0,0,0,"The pilot’s loss of directional control during the aborted landing in gusting crosswind conditions, which resulted in a runway excursion.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Aircraft capability - Maximum crosswind component - Capability exceeded, Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Effect on operation, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation, Environmental issues - Physical environment - Object/animal/substance - Sign/marker - Contributed to outcome",https://data.ntsb.gov/Docket?ProjectID=94557
WPR17LA050,ACC,94574,2016-12-29T13:30:00Z,Kingman,Arizona,United States,,N605SJ,FALSE,Aviation,DirectorBrief,2021-07-15T04:00:00Z,None,0,0,0,"The loss of engine oil pressure during cruise flight, which resulted in partial loss of engine power and necessitated a forced landing. The loss of oil pressure was the result of a failed engine piston, likely initiated by foreign object damage, which resulted in the pressurization of the crankcase and expulsion of the engine oil.","Aircraft - Aircraft power plant - Engine (reciprocating) - Recip eng cyl section - Damaged/degraded, Aircraft - Aircraft power plant - Engine (reciprocating) - Recip eng oil sys - Damaged/degraded, Aircraft - Fluids/misc hardware - Fluids - Oil - Fluid level",https://data.ntsb.gov/Docket?ProjectID=94574
WPR17LA043,ACC,94547,2016-12-29T12:31:00Z,Mt. Baldy,California,United States,,N324RS,FALSE,Aviation,DirectorBrief,2018-11-06T05:00:00Z,Serious,0,1,3,The pilot's failure to maintain main rotor speed during a low orbiting approach over a confined mountainous area. Contributing to the accident was the pilot's decision to attempt to land in an area that did not allow for a safe exit path under conditions near the limit of the helicopter’s performance capability.,"Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Prop/rotor parameters - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Aircraft oper/perf/capability - Aircraft capability - (general) - Capability exceeded",https://data.ntsb.gov/Docket?ProjectID=94547
DCA17WA146,ACC,95442,2016-12-29T05:00:00Z,Georgetown,,Guyana,,9Y-SXM,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=95442
ERA17WA076,ACC,94543,2016-12-28T21:40:00Z,Santa Juana,,Chile,,CC-CCJ,FALSE,Aviation,None,,Fatal,1,0,0,,,https://data.ntsb.gov/Docket?ProjectID=94543
CEN17LA090,ACC,94666,2016-12-28T13:30:00Z,Prairie Du Sac,Wisconsin,United States,,N6941X,FALSE,Aviation,DirectorBrief,2017-09-06T04:00:00Z,None,0,0,0,The pilot's decision to taxi the airplane from the roadway and his subsequent failure to maintain clearance from signs and a fence after a successful emergency landing following a total loss of engine power.,"Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Effect on operation, Environmental issues - Physical environment - Object/animal/substance - Sign/marker - Effect on operation, Aircraft - Aircraft handling/service - Towing and taxiing - Taxiing - Incorrect use/operation, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid type, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid condition",https://data.ntsb.gov/Docket?ProjectID=94666
CEN17WA069,INC,94568,2016-12-28T09:44:00Z,"North Sea, UK",,United Kingdom,,G-WNSR,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=94568
